,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9619"
aalbes,red currant,2,2,4,2,3,3,3,2,3,3,3,1,2,2,2,1,1,2,2,1,3,3,2,2,3,3,2,3,2.321428571,0.772373515,28,,
aardbei,strawberry,4,4,4,3,4,4,4,5,5,4,4,4,4,4,4,3,5,4,5,3,5,3,5,3,4,4,3,4,4,0.666666667,28,,
abrikoos,apricot,2,3,4,3,3,2,4,4,2,3,3,3,3,3,4,2,3,3,3,4,3,4,3,3,4,4,4,3,3.178571429,0.669636243,28,,
ananas,pineapple,4,3,5,4,4,2,4,5,5,4,4,3,4,4,4,3,5,3,4,3,4,4,4,3,3,4,4,3,3.785714286,0.738223235,28,,
appel,apple,4,4,5,4,4,5,5,5,5,5,4,4,5,4,5,4,5,5,5,4,5,5,5,4,5,5,5,4,4.607142857,0.497347461,28,,
banaan,banana,4,4,5,4,4,5,4,4,5,4,4,4,4,4,5,3,5,4,5,4,5,5,4,3,5,4,5,4,4.285714286,0.599823607,28,,
bosbes,blueberry,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3.035714286,0.42879183,28,,
braambessen,blackberry,4,2,4,2,4,4,3,3,3,2,3,4,2,3,3,1,3,2,4,3,3,3,3,2,4,3,2,3,2.928571429,0.813250061,28,,
citroen,lemon,4,3,5,3,4,3,3,4,4,4,4,4,3,3,4,3,4,4,5,3,4,4,4,4,4,4,3,3,3.714285714,0.599823607,28,,
clementine,mandarine,4,4,5,4,3,3,4,3,4,2,4,2,3,4,5,2,4,1,3,4,3,4,3,4,4,5,2,4,3.464285714,0.999338405,28,,
dadels,dates,2,2,4,2,2,5,3,3,2,2,4,2,2,2,3,2,2,1,2,3,2,2,2,2,4,3,2,3,2.5,0.881917104,28,,
druif,grape,3,3,5,4,4,4,4,4,3,4,4,4,4,4,4,3,5,3,4,4,5,4,4,5,4,5,3,4,3.964285714,0.63724772,28,,
framboos,raspberry,4,3,4,3,4,4,4,4,3,3,3,4,2,4,3,2,3,3,3,3,4,4,3,2,4,4,3,3,3.321428571,0.669636243,28,,
kers,cherry,3,3,4,3,4,3,4,5,3,4,4,3,3,4,4,2,3,4,5,3,3,4,4,5,4,3,4,4,3.642857143,0.731020885,28,,
kiwi,kiwi,4,3,5,3,4,5,4,4,5,4,4,4,4,3,5,3,5,3,4,3,5,3,4,4,3,5,3,4,3.928571429,0.766356045,28,,
kokosnoot,coconut,4,2,4,2,3,2,4,2,4,3,3,3,3,3,4,2,3,3,2,2,3,2,3,3,3,3,2,3,2.857142857,0.705233647,28,,
limoen,lime,3,2,4,3,3,2,2,2,4,3,3,3,3,4,4,2,2,3,2,3,3,3,2,2,5,4,3,3,2.928571429,0.813250061,28,,
lychee,lychee,3,2,4,2,4,5,2,2,3,3,4,3,2,3,4,1,3,1,2,3,2,2,1,3,3,3,1,3,2.642857143,1.026114055,28,,
mango,mango,2,2,4,3,4,5,3,3,3,3,4,3,3,3,3,3,4,3,4,2,3,3,3,3,3,4,3,3,3.178571429,0.669636243,28,,
meloen,melon,4,2,4,3,4,5,3,4,3,4,4,3,4,4,4,3,4,3,3,3,3,3,3,2,5,4,3,4,3.5,0.745355992,28,,
nectarine,nectarine,3,4,5,3,3,4,3,4,3,3,4,3,3,4,4,3,3,2,4,4,5,3,4,4,4,5,3,4,3.607142857,0.737326789,28,,
papaya,papaya,2,2,4,2,3,4,2,2,2,2,3,2,2,2,3,2,3,3,2,2,2,2,1,2,3,3,2,2,2.357142857,0.678466993,28,,
passievrucht,passion fruit,4,2,4,3,3,4,3,3,3,3,3,3,3,3,4,1,4,3,4,3,3,5,3,3,3,4,3,4,3.25,0.751541625,28,,
peer,pear,3,3,5,3,4,5,4,5,4,3,4,4,3,3,5,3,3,3,4,3,4,5,4,3,4,5,4,4,3.821428571,0.772373515,28,,
perzik,peach,3,3,4,3,3,3,4,4,3,3,4,3,3,3,4,2,2,3,3,4,4,4,4,4,4,3,4,4,3.392857143,0.628890011,28,,
pompelmoes,grapefruit,4,3,4,3,4,5,3,3,3,4,3,4,2,3,4,1,3,3,5,3,3,3,3,2,3,5,3,4,3.321428571,0.904866326,28,,
pompoen,pumpkin,3,2,4,3,3,3,3,4,3,3,4,4,3,3,4,2,4,3,2,3,4,3,4,4,4,4,3,4,3.321428571,0.669636243,28,,
pruim,plum,2,3,4,3,4,3,3,5,3,4,3,3,3,2,4,2,4,3,3,3,4,2,2,2,4,4,3,3,3.142857143,0.803431793,28,,
sinaasappel,orange,4,3,5,4,4,5,4,4,5,4,4,4,4,4,5,4,5,4,4,4,5,5,4,5,5,5,4,4,4.321428571,0.547964005,28,,
vijg,fig,2,2,4,2,2,3,3,3,3,3,3,3,2,2,3,3,3,4,2,2,3,2,2,2,3,3,3,3,2.678571429,0.611832186,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
