,,generation frequency,mean rank position,exemplar strength,category strength,,,,,,,,,,,,,,,,,,
aambeeld,anvil,1,8,0.004,0.002,,,,,,,,,,,,,,,,,,
beitel,chisel,62,2.677419355,0.041,0.021,,,,,,,,,,,,,,,,,,
bijl,axe,17,3,0.011,0.016,,,,,,,,,,,,,,,,,,
boormachine,drill,52,4.25,0.022,0.007,,,,,,,,,,,,,,,,,,
breekijzer,crowbar,1,4,0.004,0.000,,,,,,,,,,,,,,,,,,
engelse sleutel,adjustable spanner,4,6.5,0.008,0.000,,,,,,,,,,,,,,,,,,
grasmachine,lawn mower,5,5.2,0.000,0.000,,,,,,,,,,,,,,,,,,
hamer,hammer,115,1.739130435,0.011,0.155,,,,,,,,,,,,,,,,,,
houtklem,clamp,1,6,0.007,0.000,,,,,,,,,,,,,,,,,,
houweel,pickaxe,1,6,0.038,0.000,,,,,,,,,,,,,,,,,,
koevoet,crowbar,3,3.666666667,0.022,0.000,,,,,,,,,,,,,,,,,,
kruiwagen,wheelbarrow,10,4.1,0.007,0.014,,,,,,,,,,,,,,,,,,
mes,knife,17,5.823529412,0.000,0.014,,,,,,,,,,,,,,,,,,
moersleutel,wrench,3,3.666666667,0.019,0.000,,,,,,,,,,,,,,,,,,
oliespuit,oilcan,1,8,0.000,0.000,,,,,,,,,,,,,,,,,,
plamuurmes,filling-knife,1,5,0.000,0.000,,,,,,,,,,,,,,,,,,
ploeg,plough,15,4.2,0.022,0.014,,,,,,,,,,,,,,,,,,
schaaf,plane,1,5,0.018,0.000,,,,,,,,,,,,,,,,,,
schop,shovel,45,4.066666667,0.004,0.035,,,,,,,,,,,,,,,,,,
schroevendraaier,screwdriver,61,4.37704918,0.022,0.039,,,,,,,,,,,,,,,,,,
slijpschijf,grinding disc,9,5.333333333,0.007,0.000,,,,,,,,,,,,,,,,,,
spijker,nail,9,3.777777778,0.004,0.007,,,,,,,,,,,,,,,,,,
staalborstel,wire brush,1,6,0.007,0.000,,,,,,,,,,,,,,,,,,
stofzuiger,vacuum cleaner,1,4,0.000,0.000,,,,,,,,,,,,,,,,,,
tang,tongs,38,3.973684211,0.056,0.019,,,,,,,,,,,,,,,,,,
touw,rope,2,4,0.000,0.000,,,,,,,,,,,,,,,,,,
verfborstel,paint brush,2,6,0.000,0.000,,,,,,,,,,,,,,,,,,
vijl,file,9,4.777777778,0.026,0.000,,,,,,,,,,,,,,,,,,
waterpas,level,2,6,0.004,0.000,,,,,,,,,,,,,,,,,,
zaag,saw,73,3.643835616,0.030,0.056,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
