,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number of 'don't know'-responses,number of participants who know the item,average,standard deviation
badminton,badminton,4,4,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,6,7,6,7,6,6,7,7,6,7,7,7,5,7,7,6,2,7,0,35,6.14,1.17
ballet,ballet,4,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,4,4,6,6,4,7,5,7,,,,0,33,6.06,1.03
baseball,baseball,1,2,2,2,2,2,3,3,5,5,5,6,6,6,6,7,7,7,7,7,7,7,5,5,6,7,6,6,7,7,7,7,5,5,6,,0,35,5.26,1.90
basketbal,basketball,4,5,5,5,5,7,7,7,7,7,7,7,7,7,6,2,7,7,7,7,7,7,7,6,7,5,7,7,7,7,,,,,,,0,30,6.33,1.21
biljarten,billiards,5,6,6,6,6,6,7,7,7,7,7,7,7,7,6,5,6,7,6,7,7,7,6,7,5,7,7,7,6,,,,,,,,0,29,6.45,0.69
boksen,boxing,3,4,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,6,6,7,4,5,7,7,7,7,5,7,,,,,,0,31,6.10,1.08
golf,golfing,2,3,3,4,4,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,4,7,7,7,6,7,6,4,6,,,,0,33,5.79,1.43
handbal,handball,2,3,4,4,4,5,6,6,6,6,6,7,7,7,7,7,7,7,6,2,6,6,7,3,6,6,6,7,3,5,7,3,,,,,0,32,5.44,1.63
hardlopen,running,1,1,2,3,3,4,4,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,6,7,7,4,7,7,2,5,7,4,3,,,,0,33,5.00,1.84
ijshockey,ice hockey,2,3,3,4,4,4,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,2,7,1,6,7,7,5,,,,,,,0,30,5.43,1.79
judo,judo,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,6,7,7,7,7,7,7,7,5,7,7,6,7,6,7,5,6,,,,,0,32,5.28,1.57
kogelstoten,shot-put,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,6,6,6,5,5,6,7,4,3,5,7,1,7,,,,0,33,5.18,1.47
paardrijden,horseback riding,3,3,4,4,5,5,6,6,6,6,6,6,7,7,7,7,7,7,5,6,5,7,7,7,7,5,6,,,,,,,,,,0,27,5.81,1.24
rugby,rugby,3,3,4,4,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,4,6,6,5,5,4,7,4,6,1,6,7,,,0,34,5.29,1.40
schaken,chess,3,4,4,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,6,7,7,5,7,7,7,6,6,5,2,7,7,4,7,6,7,,0,35,6.00,1.31
schermen,fencing,1,1,2,2,3,3,3,4,4,5,6,6,6,6,7,7,7,7,7,7,7,7,5,5,7,4,5,6,5,6,7,7,,,,,0,32,5.16,1.92,
skiën,skiing,3,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,7,7,3,6,7,7,6,,,,,0,32,6.31,1.09,
sportvissen,sport fishing,1,1,2,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,7,X,3,1,4,7,1,6,3,4,4,6,4,X,2,,,,2,31,3.65,1.84,
squash,squash,3,3,4,4,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,5,3,3,3,7,5,7,7,6,7,5,5,7,,,,,0,32,5.56,1.44,
surfen,surfing,3,4,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,7,7,,,,,,,,0,29,6.28,1.13,
tafeltennis,table tennis,3,4,4,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,5,6,5,6,5,6,7,7,7,,,,,,,,0,29,5.97,1.12,
tennis,tennis,5,6,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,5,4,7,5,7,7,7,6,7,7,5,6,7,7,6,,,,0,33,6.45,0.87,
turnen,gymnastics,4,4,4,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,5,6,5,6,3,5,6,6,7,6,6,,,,,0,32,5.97,1.15,
verspringen,long jump,1,1,2,3,3,4,4,5,5,5,5,6,6,6,6,6,7,7,7,7,7,3,4,5,X,7,7,5,3,6,1,7,2,,,,1,32,4.78,1.98,
voetbal,soccer,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,3,5,4,7,7,6,7,6,,,0,34,6.38,0.99,
volleybal,volleyball,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,5,6,6,7,3,,,,,,,0,30,6.40,0.89,
wandelen,walking,3,3,4,4,4,4,4,5,5,5,6,7,7,7,7,7,7,7,7,7,6,7,2,6,7,6,6,7,6,4,7,,,,,,0,31,5.61,1.52,
wielrennen,cycling,1,2,2,3,5,5,5,5,5,6,6,7,7,7,7,5,6,7,7,7,5,7,7,5,7,7,6,7,1,,,,,,,,0,29,5.41,1.90,
zeilen,sailing,2,3,4,5,6,6,7,7,7,4,4,7,7,7,7,6,7,6,7,7,7,6,7,7,7,7,2,6,,,,,,,,,0,28,5.89,1.59,
zwemmen,swimming,2,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,6,4,6,6,6,6,7,7,4,7,6,7,7,7,,,,,,0,31,6.13,1.15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
