,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9433"
aap,monkey,20,20,19,20,19,18,10,20,19,20,16,20,13,15,20,20,15,17,20,15,20,18,17,20,18,15,20,18,17.92857143,2.595274501,28,,
bever,beaver,20,4,15,19,15,13,9,17,15,16,13,15,13,12,18,16,6,14,20,4,16,16,14,20,13,10,16,13,14,4.286067005,28,,
bizon,bison,20,13,16,18,17,17,6,16,16,12,15,16,14,18,20,14,1,15,20,8,17,16,17,20,18,8,20,16,15.14285714,4.568120496,28,,
dromedaris,dromedary,17,14,15,15,14,18,15,20,18,7,14,15,10,6,20,17,1,14,20,8,17,16,16,20,16,9,17,15,14.42857143,4.646213683,28,,
eekhoorn,squirrel,20,5,15,15,15,15,13,20,15,20,13,13,14,7,20,18,3,18,20,6,17,14,12,20,16,12,16,16,14.57142857,4.677990796,28,,
egel,hedgehog,20,8,18,16,15,10,11,16,15,14,13,10,8,5,20,12,1,17,20,5,15,14,12,20,14,8,18,14,13.17857143,4.96695429,28,,
ezel,donkey,19,16,18,19,18,18,16,20,18,20,14,18,18,14,20,19,2,14,20,10,18,17,15,20,18,17,19,16,16.82142857,3.732277345,28,,
giraf,giraffe,20,17,12,20,16,14,13,20,16,18,15,16,11,10,20,20,12,15,20,9,18,16,17,20,16,13,16,17,15.96428571,3.271449366,28,,
hamster,hamster,20,2,14,20,19,15,15,18,15,12,12,13,11,10,19,16,5,18,20,7,15,18,12,20,17,12,17,16,14.57142857,4.630243346,28,,
hert,deer,20,9,16,18,17,17,12,20,17,16,16,18,15,18,20,20,10,16,20,11,18,19,14,20,15,15,20,16,16.53571429,3.132649368,28,,
hond,dog,20,19,19,20,19,20,19,20,18,15,16,18,17,18,20,20,20,18,20,15,20,19,14,20,19,18,20,18,18.53571429,1.73166892,28,,
ijsbeer,polar bear,20,12,17,17,14,14,7,20,16,9,16,14,11,16,19,20,1,15,20,9,18,16,17,20,17,13,20,16,15.14285714,4.551876176,28,,
kangoeroe,kangaroo,20,7,18,19,14,17,8,20,19,18,13,2,11,8,20,20,4,15,20,12,17,17,16,20,14,13,16,15,14.75,5.089022318,28,,
kat,cat,20,16,18,20,19,17,19,20,19,20,15,19,17,20,20,20,20,18,20,15,19,20,15,20,19,17,20,17,18.53571429,1.73166892,28,,
koe,cow,20,11,19,20,19,20,18,20,18,20,16,18,16,16,20,18,12,14,20,13,19,20,14,20,18,17,20,17,17.60714286,2.68520343,28,,
konijn,rabbit,20,8,17,20,19,15,16,20,15,20,14,15,17,15,20,20,6,18,20,13,20,16,13,20,16,15,20,18,16.64285714,3.643505493,28,,
lama,llama,20,10,16,19,15,15,6,20,16,11,15,16,13,8,20,14,12,14,20,9,16,16,15,20,14,9,16,15,14.64285714,3.860668583,28,,
leeuw,lion,20,17,19,20,18,14,12,20,19,20,15,16,18,20,20,20,16,16,20,11,18,19,14,20,17,18,20,18,17.67857143,2.582757232,28,,
muis,mouse,20,12,19,20,16,16,19,20,18,20,14,12,10,12,20,15,5,17,20,5,16,16,13,20,18,12,19,15,15.67857143,4.312372995,28,,
neushoorn,rhinoceros,20,10,18,20,15,13,7,20,17,7,15,18,15,5,20,14,12,17,20,9,14,16,16,20,16,14,19,17,15.14285714,4.318043845,28,,
nijlpaard,hippopotamus,20,10,16,20,16,12,11,20,17,6,13,17,13,4,18,16,7,13,20,9,14,17,17,20,15,14,19,15,14.60714286,4.433369137,28,,
olifant,elephant,20,17,19,20,16,14,11,20,18,13,15,16,15,10,20,17,11,15,20,14,16,16,17,20,16,15,16,18,16.25,2.862594006,28,,
paard,horse,20,16,19,20,19,16,18,20,19,16,15,18,18,16,20,17,10,18,20,12,17,19,14,20,18,19,19,18,17.53571429,2.486737307,28,,
schaap,sheep,17,18,20,19,18,20,18,20,18,20,15,20,18,16,20,18,6,17,20,14,16,18,11,20,17,18,20,16,17.42857143,3.108275352,28,,
tijger,tiger,20,15,18,20,16,14,12,20,18,20,14,17,16,20,20,20,18,17,20,10,18,16,16,20,15,12,19,17,17.07142857,2.840560344,28,,
varken,pig,20,15,12,20,17,15,16,20,15,20,14,18,17,18,20,17,14,15,20,16,19,19,13,20,18,17,20,16,17.17857143,2.435137405,28,,
vleermuis,bat,16,2,11,13,12,10,3,10,15,5,12,3,16,11,12,6,1,14,16,6,12,18,12,20,12,8,15,13,10.85714286,4.964423697,28,,
vos,fox,20,11,17,20,16,15,12,20,16,16,15,15,12,12,20,19,15,17,20,10,18,18,16,20,16,14,18,17,16.25,2.951772851,28,,
wolf,wolf,20,17,19,20,16,16,14,20,17,15,15,20,15,15,20,20,13,16,20,15,16,20,14,20,17,13,18,16,17.03571429,2.441647028,28,,
zebra,zebra,20,16,14,20,16,16,13,20,18,13,15,16,15,10,20,20,8,17,20,8,17,16,17,20,16,16,17,15,16.03571429,3.382768348,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
