,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9493"
aambeeld,anvil,5,9,16,7,4,13,14,20,10,6,7,13,14,16,15,6,8,12,12,16,10,11,10,18,15,11,5,9,11.14285714,4.248871621,28,,
beitel,chisel,10,15,18,18,20,14,16,20,20,9,20,13,17,16,18,11,18,19,16,17,15,15,18,18,18,17,11,14,16.10714286,3.09526862,28,,
bijl,axe,5,15,16,17,20,14,16,20,20,4,17,18,14,20,15,20,17,14,19,14,18,20,16,18,18,8,20,14,15.96428571,4.26425403,28,,
boormachine,drill,16,14,18,10,20,15,20,20,20,19,20,18,16,18,18,15,16,19,19,17,15,19,20,13,20,16,19,16,17.35714286,2.541715456,28,,
breekijzer,crowbar,12,11,20,12,11,15,18,20,20,19,14,14,18,11,15,13,16,18,13,9,13,15,14,16,19,12,17,12,14.89285714,3.189558029,28,,
engelse sleutel,adjustable spanner,12,13,17,15,20,16,12,20,20,11,20,16,18,15,16,13,14,19,20,17,18,16,18,19,15,19,14,-1,16.40740741,2.790909133,27,,
grasmachine,lawn mower,8,6,13,4,20,13,19,20,15,14,14,9,13,2,13,14,12,12,15,12,11,13,12,6,18,6,16,11,12.17857143,4.562760466,28,,
hamer,hammer,10,19,19,17,20,17,17,20,20,20,20,17,20,20,18,15,20,19,20,17,18,20,20,20,17,19,20,17,18.42857143,2.201490597,28,,
houtklem,clamp,10,13,5,5,20,14,-1,18,10,4,20,12,15,4,17,15,15,14,11,9,15,13,10,16,13,2,18,13,12.25925926,4.942691517,27,,
houweel,pickaxe,10,12,16,17,-1,16,12,20,20,13,17,15,17,18,16,6,11,18,17,17,16,15,12,19,16,9,15,14,14.96296296,3.390954954,27,,
koevoet,crowbar,10,7,19,10,20,14,18,20,20,20,11,11,18,15,15,10,17,17,18,4,6,19,13,16,19,12,14,15,14.57142857,4.581998363,28,,
kruiwagen,wheelbarrow,14,9,13,8,20,11,14,19,20,20,16,17,16,16,15,8,13,17,19,13,8,15,12,15,19,7,18,16,14.57142857,3.966793382,28,,
mes,knife,5,10,3,8,20,12,12,12,20,10,10,18,9,13,14,16,19,11,11,10,8,14,12,8,12,11,12,9,11.75,4.088149088,28,,
moersleutel,wrench,12,14,11,16,20,16,10,20,20,19,20,13,20,13,17,7,17,16,20,17,16,16,20,15,16,17,15,-1,16.03703704,3.436025001,27,,
oliespuit,oilcan,-1,2,6,10,20,14,7,20,15,3,6,11,15,2,15,10,10,14,10,7,15,12,10,15,14,6,13,9,10.77777778,4.862203784,27,,
plamuurmes,filling-knife,10,11,15,15,20,13,14,20,20,6,20,14,17,17,15,6,14,15,12,8,12,18,12,18,19,14,8,13,14.14285714,4.133998922,28,,
ploeg,plough,13,12,9,10,20,16,5,20,20,4,13,11,13,7,13,13,17,12,14,10,10,14,12,13,20,7,16,12,12.71428571,4.293467414,28,,
schaaf,plane,8,12,9,13,-1,16,9,20,20,9,19,11,15,8,16,12,14,13,10,9,10,18,15,-1,18,15,13,9,13.11538462,3.840072115,26,,
schop,shovel,14,14,19,17,20,17,18,20,20,20,20,16,19,20,17,14,20,14,20,17,18,17,18,17,15,18,17,15,17.53571429,2.116638545,28,,
schroevendraaier,screwdriver,12,16,17,16,20,15,14,20,20,20,20,18,20,16,17,12,18,20,20,17,16,20,18,20,18,18,17,17,17.57142857,2.37936455,28,,
slijpschijf,grinding disc,8,6,18,12,20,12,18,20,20,10,20,15,13,19,17,16,14,20,18,16,12,17,10,18,20,8,17,15,15.32142857,4.190408549,28,,
spijker,nail,4,10,12,8,20,14,20,13,1,4,8,12,18,8,18,15,20,12,20,13,12,19,10,13,11,1,14,5,11.96428571,5.68612439,28,,
staalborstel,wire brush,4,3,17,13,10,15,13,20,20,4,12,13,10,5,13,13,13,14,10,11,12,9,12,16,13,6,12,13,11.64285714,4.313753077,28,,
stofzuiger,vacuum cleaner,5,3,8,4,20,11,7,1,15,3,10,5,13,3,13,11,11,11,9,5,6,10,12,6,11,8,6,3,8.214285714,4.374650402,28,,
tang,tongs,14,16,14,18,20,15,17,20,20,18,20,16,20,10,16,10,17,20,17,17,16,18,14,20,17,19,18,15,16.85714286,2.771739469,28,,
touw,rope,8,11,10,3,20,11,11,1,10,19,10,10,4,4,13,8,13,11,13,7,6,12,10,11,12,4,6,7,9.464285714,4.341719602,28,,
verfborstel,paint brush,10,11,8,10,20,13,10,20,20,13,17,13,12,10,16,4,15,15,16,15,12,15,10,14,15,3,17,10,13,4.233901974,28,,
vijl,file,9,12,5,15,13,12,16,7,20,14,12,11,2,6,13,8,14,15,15,13,8,13,14,19,16,17,12,6,12.03571429,4.307462455,28,,
waterpas,level,8,13,13,13,20,12,15,17,15,4,18,11,16,9,16,13,18,19,14,17,16,17,12,16,15,9,16,14,14.14285714,3.597471187,28,,
zaag,saw,15,17,17,18,20,17,16,20,20,20,17,18,20,14,18,14,20,19,20,16,18,20,18,20,17,18,19,17,17.96428571,1.85556506,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
