,,log(lemmaFreq),age of acquisition,% known,"(estimated reliability = 0,93)",,,,,,,,,,,,,,,,,,,,,
beha,bra,2.29,8.42,98.69,,,,,,,,,,,,,,,,,,,,,,
bloes,blouse,2.56,6.96,97.89,,,,,,,,,,,,,,,,,,,,,,
broek,pants,3.42,4.29,98.69,,,,,,,,,,,,,,,,,,,,,,
das,tie,0.95,6.58,99.21,,,,,,,,,,,,,,,,,,,,,,
hemd,shirt,3.00,5.50,98.70,,,,,,,,,,,,,,,,,,,,,,
hoed,hat,3.24,5.00,98.70,,,,,,,,,,,,,,,,,,,,,,
jas,coat,3.32,3.75,99.22,,,,,,,,,,,,,,,,,,,,,,
jeans,jeans,2.26,7.04,98.43,,,,,,,,,,,,,,,,,,,,,,
jogging,tracksuit,0.90,8.75,99.22,,,,,,,,,,,,,,,,,,,,,,
kleed,dress,3.33,5.33,97.93,,,,,,,,,,,,,,,,,,,,,,
kostuum,suit,2.72,7.48,99.73,,,,,,,,,,,,,,,,,,,,,,
laarzen,boots,3.05,5.38,98.94,,,,,,,,,,,,,,,,,,,,,,
muts,beanie,2.48,4.46,99.20,,,,,,,,,,,,,,,,,,,,,,
pet,cap,2.90,5.21,99.42,,,,,,,,,,,,,,,,,,,,,,
pyjama,pyjamas,2.55,4.38,99.47,,,,,,,,,,,,,,,,,,,,,,
riem,belt,2.97,7.22,97.61,,,,,,,,,,,,,,,,,,,,,,
rok,skirt,3.12,5.13,100.00,,,,,,,,,,,,,,,,,,,,,,
salopet,dungarees,0.00,7.92,94.88,,,,,,,,,,,,,,,,,,,,,,
schoenen,shoes,3.46,4.13,99.73,,,,,,,,,,,,,,,,,,,,,,
short,shorts,0.00,6.21,98.16,,,,,,,,,,,,,,,,,,,,,,
sjaal,scarf,2.62,4.92,99.73,,,,,,,,,,,,,,,,,,,,,,
slip,panties,1.53,7.04,98.43,,,,,,,,,,,,,,,,,,,,,,
sokken,socks,2.76,4.96,98.96,,,,,,,,,,,,,,,,,,,,,,
sweater,sweater,1.51,8.50,98.95,,,,,,,,,,,,,,,,,,,,,,
t-shirt,t-shirt,2.00,9.25,97.17,,,,,,,,,,,,,,,,,,,,,,
topje,top,2.93,4.58,98.66,,,,,,,,,,,,,,,,,,,,,,
trui,pullover,2.27,4.91,99.73,,,,,,,,,,,,,,,,,,,,,,
wanten,mittens,1.41,5.83,99.20,,,,,,,,,,,,,,,,,,,,,,
zwempak,bathing suit,1.54,5.29,99.22,,,,,,,,,,,,,,,,,,,,,,
,,log(lemmaFreq),age of acquisition,% known,,,,,,,,,,,,,,,,,,,,,,
