,,log(lemmaFreq),age of acquisition,% known,"(estimated reliability = 0,93)",,,,,,,,,,,,,,,,,,,,,,,,
ansjovis,anchovy,1.91,10.70,96.77,,,,,,,,,,,,,,,,,,,,,,,,,
dolfijn,dolphin,2.18,6.21,98.76,,,,,,,,,,,,,,,,,,,,,,,,,
forel,trout,2.12,9.09,98.01,,,,,,,,,,,,,,,,,,,,,,,,,
goudvis,goldfish,1.93,5.30,99.26,,,,,,,,,,,,,,,,,,,,,,,,,
haai,shark,2.14,6.13,98.99,,,,,,,,,,,,,,,,,,,,,,,,,
haring,herring,2.34,8.46,98.03,,,,,,,,,,,,,,,,,,,,,,,,,
inktvis,squid,1.90,7.79,98.02,,,,,,,,,,,,,,,,,,,,,,,,,
kabeljauw,cod,1.93,8.08,99.75,,,,,,,,,,,,,,,,,,,,,,,,,
karper,carp,2.39,10.00,97.76,,,,,,,,,,,,,,,,,,,,,,,,,
orka,orca,0.30,8.58,99.50,,,,,,,,,,,,,,,,,,,,,,,,,
paling,eel,2.42,7.96,99.49,,,,,,,,,,,,,,,,,,,,,,,,,
piranha,piranha,0.95,10.00,99.50,,,,,,,,,,,,,,,,,,,,,,,,,
pladijs,plaice,0.30,10.74,95.66,,,,,,,,,,,,,,,,,,,,,,,,,
platvis,flatfish,1.46,9.96,94.24,,,,,,,,,,,,,,,,,,,,,,,,,
potvis,sperm whale,0.48,10.50,99.49,,,,,,,,,,,,,,,,,,,,,,,,,
rog,ray,1.36,10.79,97.06,,,,,,,,,,,,,,,,,,,,,,,,,
sardine,sardine,1.85,9.46,97.31,,,,,,,,,,,,,,,,,,,,,,,,,
snoek,pike,1.99,9.92,96.38,,,,,,,,,,,,,,,,,,,,,,,,,
stekelbaars,stickleback,1.69,9.88,96.77,,,,,,,,,,,,,,,,,,,,,,,,,
tong,sole,3.36,4.22,99.49,,,,,,,,,,,,,,,,,,,,,,,,,
walvis,whale,2.11,6.46,99.23,,,,,,,,,,,,,,,,,,,,,,,,,
zalm,salmon,2.33,8.92,99.00,,,,,,,,,,,,,,,,,,,,,,,,,
zwaardvis,swordfish,0.85,9.08,98.00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
