,,log(lemmaFreq),age of acquisition,% known,"(estimated reliability = 0,80)",,,,,,,,,,,,,,,,,,,,,,,,
bazooka,bazooka,0.95,10.58,91.33,,,,,,,,,,,,,,,,,,,,,,,,,
bijl,axe,2.65,7.61,98.42,,,,,,,,,,,,,,,,,,,,,,,,,
boksbeugel,knuckle dusters,5.04,10.63,97.12,,,,,,,,,,,,,,,,,,,,,,,,,
boog,bow,3.29,6.17,99.49,,,,,,,,,,,,,,,,,,,,,,,,,
dolk,dagger,2.36,8.04,98.98,,,,,,,,,,,,,,,,,,,,,,,,,
geweer,rifle,3.29,6.42,100.00,,,,,,,,,,,,,,,,,,,,,,,,,
granaat,grenade,2.51,8.75,100.00,,,,,,,,,,,,,,,,,,,,,,,,,
kanon,canon,2.67,7.17,99.75,,,,,,,,,,,,,,,,,,,,,,,,,
katapult,slingshot,1.67,7.91,98.73,,,,,,,,,,,,,,,,,,,,,,,,,
knuppel,club,2.39,8.13,98.96,,,,,,,,,,,,,,,,,,,,,,,,,
mitraillette,machine gun,2.26,9.33,95.59,,,,,,,,,,,,,,,,,,,,,,,,,
pistool,pistol,3.10,7.25,99.74,,,,,,,,,,,,,,,,,,,,,,,,,
schild,shield,2.46,10.22,98.95,,,,,,,,,,,,,,,,,,,,,,,,,
speer,spear,2.65,8.13,99.49,,,,,,,,,,,,,,,,,,,,,,,,,
stok,stick,6.53,5.04,97.10,,,,,,,,,,,,,,,,,,,,,,,,,
tank,tank,2.85,8.08,99.23,,,,,,,,,,,,,,,,,,,,,,,,,
touw,rope,3.18,5.00,96.51,,,,,,,,,,,,,,,,,,,,,,,,,
tweeloop,double barreled shotgun,1.11,11.08,90.00,,,,,,,,,,,,,,,,,,,,,,,,,
zwaard,sword,2.81,6.21,100.00,,,,,,,,,,,,,,,,,,,,,,,,,
zweep,whip,2.57,8.38,99.75,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
